Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
70,45,70,45,0.7913114949531034,0.914486850728837,0.9768046765708293,0.9878010616541452,0.9777649560571534,27.756106236886882,24.370110532557007,37.76202071900413,39.39590768239876,38.068455863957624
70,60,70,60,0.8768397318552841,0.9053508003272971,0.9885806261255129,0.9900881926014832,0.9772768522858016,31.20950070446351,24.92340199368289,41.48035554635864,41.46866443138089,39.30951955804745
70,75,70,75,0.9489923199282175,0.9200007704025965,0.9955832625916079,0.9905797012409979,0.9791034096921097,35.42629746728285,23.575049674829252,39.65284739023818,38.55300994412779,37.6828654849467
70,85,70,85,0.9711420302010133,0.9247710633406248,0.9970820065844872,0.9911835130408724,0.9793091234578778,37.738932856246464,19.351579239615845,37.507880020138295,36.8032985200229,34.12030726926282
70,90,70,90,0.988436823784457,0.9200975361621476,0.9981052830166182,0.9920054628697539,0.9755809560910845,39.05641207709951,19.652614096020624,38.19070988116564,37.5054039709872,34.10539646259871
75,0,75,0,0.7650200586307007,0.9889915292426936,0.971616830949064,0.9877442014796087,0.9943657924895014,26.242285237767543,20.529132935498318,33.531874232968796,35.180949886551225,34.77305884298443
75,5,75,5,0.7529605009815115,0.986126784005674,0.9684340898839559,0.9871638254914111,0.9940712932993837,25.329035254255704,19.205514447653968,32.29284145083255,33.71913721762747,33.53260678737428
75,15,75,15,0.745315403330614,0.9742641737239526,0.9627788763716969,0.9830933786953154,0.9884992974281224,24.774937583189427,15.423013308044276,29.71102897141563,30.765494863743363,30.524202546914708
75,30,75,30,0.7502601307359885,0.945917882027351,0.9668354934452799,0.9856965200751705,0.9834238594145028,24.97356401594893,18.764045622703883,30.539170913602582,33.30334344574829,32.75938567620766
75,45,75,45,0.779227738732923,0.9072099400875782,0.9754048941581676,0.9863387383588416,0.9754026124816241,26.965430707722348,22.18838901778094,36.48946748853761,37.42172236333816,35.945358099767425
75,60,75,60,0.8647082152979881,0.8916941326539568,0.9861476479249928,0.9877957980320672,0.9728506228908985,30.398954630372586,24.08666810809637,40.56402484303656,40.66578073020523,38.50525924358569
75,75,75,75,0.9424115099681073,0.9032506987606834,0.9946545838598255,0.9883697099913975,0.9721730282544397,34.5874328868013,22.00076984654061,38.00614397883284,37.045004777595246,35.62455367482195
75,85,75,85,0.9637033864137375,0.9074899056098837,0.9959769639317225,0.9871552641171121,0.970092744502414,36.579230413760214,15.756477373313471,35.7475478036038,34.92986919108568,30.628829081078315
75,90,75,90,0.9827576215763077,0.905090324619673,0.9933526681512308,0.9853973577327909,0.9615341501186868,37.12230308080831,9.332990484255548,29.48510581949034,29.382894895215493,24.756869417649952
80,0,80,0,0.739211376046797,0.986946242889761,0.9654005450869382,0.9850959537457485,0.9931946208694648,25.08788404700107,19.45732495081054,32.01235227405522,33.88880060605492,33.597344621726755
80,5,80,5,0.7237801672152229,0.9839933485401983,0.9591966721813848,0.9843684532778987,0.9930262697972763,24.567938654150975,18.553054332393202,30.902616092754837,32.62841575867233,32.63839955828735
80,15,80,15,0.7300632565503801,0.9728356007338638,0.9595893302190881,0.9820929088833403,0.9881793603197975,24.35788253726845,17.057260048825526,30.344338546601097,31.619852275728533,31.54197119497017
80,30,80,30,0.7189203856314111,0.9345631696366431,0.959027150741227,0.9828778103812603,0.9806590526163593,22.570003301066176,17.964032911732424,29.08516214999384,32.778406994035876,32.34001749547693
